Number of unique subjects: 394289,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22]
[0] http://aemet.linkeddata.es/ontology/calidadDelDatoObservado,393856,-,393856,393856,393856,393856,393856,393856,393856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://aemet.linkeddata.es/ontology/observadaEnIntervalo,393856,-,-,393856,393856,393856,393856,393856,393856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2] http://aemet.linkeddata.es/ontology/valorDelDatoObservado,393856,-,-,-,393856,393856,393856,393856,393856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[3] http://purl.oclc.org/NET/ssnx/ssn#featureOfInterest,393856,-,-,-,-,393856,393856,393856,393856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[4] http://purl.oclc.org/NET/ssnx/ssn#observedBy,393856,-,-,-,-,-,393856,393856,393856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[5] http://purl.oclc.org/NET/ssnx/ssn#observedProperty,393856,-,-,-,-,-,-,393856,393856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[6] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,394289,-,-,-,-,-,-,-,393856,144,144,144,144,144,144,144,144,144,1,144,144,144,144,144
[7] http://www.w3.org/2000/01/rdf-schema#label,787712,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[8] http://www.w3.org/2006/time#day,144,-,-,-,-,-,-,-,-,-,144,144,0,0,144,0,144,144,0,144,144,144,144,144
[9] http://www.w3.org/2006/time#dayOfWeek,144,-,-,-,-,-,-,-,-,-,-,144,0,0,144,0,144,144,0,144,144,144,144,144
[10] http://www.w3.org/2006/time#dayOfYear,144,-,-,-,-,-,-,-,-,-,-,-,0,0,144,0,144,144,0,144,144,144,144,144
[11] http://www.w3.org/2006/time#hasBeginning,144,-,-,-,-,-,-,-,-,-,-,-,-,144,0,0,0,0,0,0,0,0,0,0
[12] http://www.w3.org/2006/time#hasDurationDescription,144,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0
[13] http://www.w3.org/2006/time#hour,144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,144,144,0,144,144,144,144,144
[14] http://www.w3.org/2006/time#inDateTime,144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0
[15] http://www.w3.org/2006/time#inXSDDateTime,144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,0,144,144,144,144,144
[16] http://www.w3.org/2006/time#minute,144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,144,144,144,144,144
[17] http://www.w3.org/2006/time#minutes,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
[18] http://www.w3.org/2006/time#month,144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,144,144,144
[19] http://www.w3.org/2006/time#timeZone,144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,144,144
[20] http://www.w3.org/2006/time#unitType,144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,144
[21] http://www.w3.org/2006/time#week,144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144
[22] http://www.w3.org/2006/time#year,144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-