Number of unique subjects: 6013816,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41]
[0] http://purl.org/NET/scovo#dimension,47,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,0,0,0,0,0
[1] http://purl.org/dc/elements/1.1/creator,2,-,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
[2] http://purl.org/dc/elements/1.1/description,1,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
[3] http://purl.org/dc/elements/1.1/title,80,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
[4] http://purl.org/dc/terms/creator,1,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[5] http://purl.org/dc/terms/date,16,-,-,-,-,-,-,1,1,1,15,1,1,0,0,1,2,0,1,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,15,1,1
[6] http://purl.org/dc/terms/description,1,-,-,-,-,-,-,-,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
[7] http://purl.org/dc/terms/publisher,1,-,-,-,-,-,-,-,-,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
[8] http://purl.org/dc/terms/subject,5,-,-,-,-,-,-,-,-,-,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
[9] http://purl.org/dc/terms/title,15,-,-,-,-,-,-,-,-,-,-,1,1,0,0,1,2,0,1,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,15,1,0
[10] http://rdfs.org/ns/void#exampleResource,1,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
[11] http://rdfs.org/ns/void#feature,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
[12] http://rdfs.org/ns/void#linkPredicate,44,-,-,-,-,-,-,-,-,-,-,-,-,-,44,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,0,0,0,0
[13] http://rdfs.org/ns/void#objectsTarget,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,0,0,0,0
[14] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
[15] http://rdfs.org/ns/void#statItem,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,46,0,0,2,1,0
[16] http://rdfs.org/ns/void#subjectsTarget,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,0,0,0,0
[17] http://rdfs.org/ns/void#subset,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
[18] http://rdfs.org/ns/void#uriLookupEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
[19] http://rdfs.org/ns/void#uriRegexPattern,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,14,1,0
[20] http://rdfs.org/ns/void#vocabulary,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
[21] http://www.aktors.org/ontology/portal#article-of-journal,2195577,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1158677,15875,0,0,2128779,2160620,2160621,931436,1955669,0,0,0,2160621,0,0,0,2160621,0,0,0
[22] http://www.aktors.org/ontology/portal#cites-publication-reference,1167473,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,0,0,1151169,1158684,1158684,24338,1034101,0,0,0,1158684,0,0,0,1158684,0,0,0
[23] http://www.aktors.org/ontology/portal#edited-by,46532,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,20,16471,16471,10282,4903,0,0,0,16471,0,0,0,16471,0,0,0
[24] http://www.aktors.org/ontology/portal#full-name,3835990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6914,0,0,0,0,0,0,0,0,3827453,0,0,0,0,0,0,0
[25] http://www.aktors.org/ontology/portal#has-affiliation,6923,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,6914,0,0,0,0,0,0,0
[26] http://www.aktors.org/ontology/portal#has-author,5900735,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2144460,2144460,917941,1945362,0,0,0,2144460,0,0,0,2144460,0,0,0
[27] http://www.aktors.org/ontology/portal#has-date,2201557,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2177052,932884,1962156,0,0,0,2177052,0,0,0,2177052,0,0,0
[28] http://www.aktors.org/ontology/portal#has-title,2208565,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,932885,1962157,0,0,0,2185452,0,0,0,2177058,0,0,0
[29] http://www.aktors.org/ontology/portal#has-volume,939311,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,898617,0,0,0,932885,0,0,0,932885,0,0,0
[30] http://www.aktors.org/ontology/portal#has-web-address,1996322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1962157,0,0,0,1962157,0,0,0
[31] http://www.aktors.org/ontology/support#has-pretty-name,360,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,360,0,0,0,0,0,0,0
[32] http://www.aktors.org/ontology/support#month-of,365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,365,365,0,0,0,0,0,0,0
[33] http://www.aktors.org/ontology/support#year-of,443,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,443,0,0,0,0,0,0,0
[34] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,6039194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,60,1,2177058,15,1,0
[35] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,0,0,0,0,0
[36] http://www.w3.org/2000/01/rdf-schema#label,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,15,1,0
[37] http://www.w3.org/2002/07/owl#imports,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
[38] http://www.w3.org/2002/07/owl#sameAs,2217402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[39] http://xmlns.com/foaf/0.1/homepage,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0
[40] http://xmlns.com/foaf/0.1/nick,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[41] http://xmlns.com/foaf/0.1/primaryTopic,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
